DATA_DADES;HOMES;SECCIO_CENSAL;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
30/03/15;528;02097;609;127;100;682;228;872;82;183
30/03/15;668;02098;857;120;145;919;341;1214;115;196
30/03/15;699;02099;788;145;156;859;327;1229;75;183
30/03/15;637;02100;744;135;121;830;295;1191;62;128
30/03/15;996;02101;1161;257;154;1213;533;1769;129;259
30/03/15;628;02102;777;166;138;745;356;1240;50;115
30/03/15;797;02103;944;176;138;1046;381;1354;108;279
30/03/15;504;02104;592;115;73;639;269;954;52;90
30/03/15;890;02105;1139;223;155;1181;470;1646;136;247
30/03/15;697;02106;750;190;93;847;317;1187;107;153
30/03/15;729;02107;901;203;148;842;437;1461;77;92
30/03/15;685;02108;887;195;123;808;446;1395;76;101
30/03/15;887;02109;1077;234;180;1016;534;1726;101;137
30/03/15;867;02110;999;248;146;1097;375;1505;121;240
30/03/15;779;02111;965;198;122;1007;417;1469;77;198
30/03/15;602;02112;721;157;92;680;394;1208;48;67
30/03/15;944;02113;1069;273;141;1083;516;1757;64;192
30/03/15;766;02114;932;189;143;879;487;1454;66;178
30/03/15;621;02115;738;157;97;750;355;1133;65;161
30/03/15;485;02116;572;134;90;604;229;951;35;71
30/03/15;545;02117;632;125;66;652;334;1022;41;114
30/03/15;685;02118;817;187;144;876;295;1301;59;142
30/03/15;593;02119;702;146;106;735;308;1151;39;105
30/03/15;557;02120;637;134;94;678;288;1034;46;114
30/03/15;578;02121;664;142;101;703;296;1092;54;96
30/03/15;466;02122;588;95;97;610;252;937;41;76
30/03/15;557;02123;593;130;73;698;249;947;61;142
30/03/15;513;02124;612;115;107;604;299;1037;32;56
30/03/15;750;02125;951;178;143;913;467;1490;55;156
30/03/15;696;02126;841;161;132;890;354;1358;65;114
30/03/15;522;02127;581;119;76;671;237;883;68;152
30/03/15;611;02128;667;126;114;747;291;1040;50;188
30/03/15;706;02129;818;129;129;912;354;1281;60;183
30/03/15;538;02130;565;104;106;606;287;1023;29;51
30/03/15;566;02131;654;98;109;738;275;958;66;196
30/03/15;601;02132;628;107;116;755;251;978;55;196
30/03/15;395;02133;475;77;45;404;344;796;21;53
30/03/15;645;02134;764;119;130;823;337;1193;76;140
30/03/15;959;02135;1108;210;149;1278;430;1690;125;252
30/03/15;404;02136;482;66;86;525;209;766;23;97
30/03/15;653;02137;735;145;111;842;290;1126;81;181
30/03/15;913;02138;992;224;156;1038;487;1647;92;166
30/03/15;748;02139;911;184;135;1023;317;1297;91;271
